actualFE,rawSource,firstLevelSource,attributionEligible,candidateFingerprint,Cmax,TEC,TWC,parentFingerprint,lineageId,parentLineageId,QgAction,QpAction,QgTeacherHash16,QpTeacherHash16,subSwarmRole,JSChanged,FAChanged,MAChanged,WAChanged,JSChangeCount,FAChangeCount,MAChangeCount,WAChangeCount,finalEvaluate
64,INITIAL_POPULATION,NOT_APPLICABLE,false,7737d53a30d4562b9dc26c5d128f2bce5963347f4f89ae883e026242d019b112,958.0771628932285,134885.41405810986,433494.6870568154,-1,-1,-1,NA,NA,NA,NA,UNASSIGNED,false,false,false,false,0,0,0,0,false
65,INITIAL_POPULATION,NOT_APPLICABLE,false,bc005f6b236c72a26bb7744ca167f0db9580bf010c3ef6ec6846faaf30e16478,1077.1737798379693,133259.28680427466,449557.904831493,-1,-1,-1,NA,NA,NA,NA,UNASSIGNED,false,false,false,false,0,0,0,0,false
66,INITIAL_POPULATION,NOT_APPLICABLE,false,95f5c9c2002ed792cce704eede9f3670a6964da7b9b8b61d41b6760932447e63,1059.4267822357272,132282.87113761817,445225.0205514231,-1,-1,-1,NA,NA,NA,NA,UNASSIGNED,false,false,false,false,0,0,0,0,false
67,INITIAL_POPULATION,NOT_APPLICABLE,false,1e330e45e9f6196e8d841af7a9ae0bccbb165c06f92a3fd7a7eb8f0054bd13a4,1071.0055703760713,136019.60251575024,439131.79875298985,-1,-1,-1,NA,NA,NA,NA,UNASSIGNED,false,false,false,false,0,0,0,0,false
68,INITIAL_POPULATION,NOT_APPLICABLE,false,9ce822e9ee3049c416d0af741c2d625ec39d2acd3ace02af3c9a9807d517079a,1014.6278419513376,131704.10570044338,419037.29955203965,-1,-1,-1,NA,NA,NA,NA,UNASSIGNED,false,false,false,false,0,0,0,0,false
69,INITIAL_POPULATION,NOT_APPLICABLE,false,c4cf8f50b6b9aec02014dda68b6ca857cb09e8bde57ab234c1e647b26a439b2e,1217.803889475545,135721.94159178017,430203.9622163273,-1,-1,-1,NA,NA,NA,NA,UNASSIGNED,false,false,false,false,0,0,0,0,false
70,INITIAL_POPULATION,NOT_APPLICABLE,false,b05f2dc4fd7d34a33d2c4bc1785f5e575974229310e877e8e56cf06086d1996e,1224.4880183790096,137848.45489182093,478026.6480798215,-1,-1,-1,NA,NA,NA,NA,UNASSIGNED,false,false,false,false,0,0,0,0,false
71,INITIAL_POPULATION,NOT_APPLICABLE,false,1623acfb9b49e9c384912e4bf8276da95af7bf63f61c4d726817ae0607069070,1040.9235338273206,131040.76296773984,423339.30262377183,-1,-1,-1,NA,NA,NA,NA,UNASSIGNED,false,false,false,false,0,0,0,0,false
72,INITIAL_POPULATION,NOT_APPLICABLE,false,555b5690ddffb198933bdd3c8d122b126301b95e155fc2b3446f96007dc679f6,1087.0752265186106,137432.10480906148,468443.78995451005,-1,-1,-1,NA,NA,NA,NA,UNASSIGNED,false,false,false,false,0,0,0,0,false
73,INITIAL_POPULATION,NOT_APPLICABLE,false,c5415494e42e1ed46ecec449322752c47b44068ead221e397e41523c493b1a75,1036.0322242213342,132650.85168986497,454130.41120769887,-1,-1,-1,NA,NA,NA,NA,UNASSIGNED,false,false,false,false,0,0,0,0,false
74,INITIAL_POPULATION,NOT_APPLICABLE,false,a631e6321afcba7192087c5570a1c85d3dd96d9df9f1af4986edc61ccc7922ad,1145.1050175977934,133418.39035305433,430245.9750418784,-1,-1,-1,NA,NA,NA,NA,UNASSIGNED,false,false,false,false,0,0,0,0,false
75,INITIAL_POPULATION,NOT_APPLICABLE,false,cfd2741f1442ce8d159665e44e8389d00e4e2d2a10548cb56b200170249c5289,1002.3593676454122,137244.1695234323,490888.15525704925,-1,-1,-1,NA,NA,NA,NA,UNASSIGNED,false,false,false,false,0,0,0,0,false
76,INITIAL_POPULATION,NOT_APPLICABLE,false,28ab8e615e3ff1d29f440ae5e548cd997d5cd16b628e6e26a00a00c18d729779,1238.6413419217456,133540.0123008627,476326.70789333445,-1,-1,-1,NA,NA,NA,NA,UNASSIGNED,false,false,false,false,0,0,0,0,false
77,INITIAL_POPULATION,NOT_APPLICABLE,false,7ff14429ff14750846d66b0db3c552a38b9c11d6a3b33830962d28dcdbe6f189,1010.9786790350648,133592.35875088922,450441.0986247333,-1,-1,-1,NA,NA,NA,NA,UNASSIGNED,false,false,false,false,0,0,0,0,false
78,INITIAL_POPULATION,NOT_APPLICABLE,false,b15b115bdf5eefee6a6743a5554004675a1a14e08d48b72c147c357a676ec2b0,1108.3569218094938,131572.25054645882,411437.09065561707,-1,-1,-1,NA,NA,NA,NA,UNASSIGNED,false,false,false,false,0,0,0,0,false
79,INITIAL_POPULATION,NOT_APPLICABLE,false,244611610f987e905eae023d92d27974e05c808fff47a724cc036db85debb7d8,958.6465021093758,133119.7677101466,435705.97336653585,-1,-1,-1,NA,NA,NA,NA,UNASSIGNED,false,false,false,false,0,0,0,0,false
80,INITIAL_POPULATION,NOT_APPLICABLE,false,061b9a701c1a3f2f8111c42d22e28ba1e9b65f36eef143b7712751832006e86a,914.6340982607944,135566.8097721942,406233.7819090347,-1,-1,-1,NA,NA,NA,NA,UNASSIGNED,false,false,false,false,0,0,0,0,false
81,INITIAL_POPULATION,NOT_APPLICABLE,false,bb56d8a8664f3ba8cb456dab0a1ae88286cce09327f2eabf73b0b31ee793bfb3,1249.9761559538363,134266.40869808284,471871.7996840804,-1,-1,-1,NA,NA,NA,NA,UNASSIGNED,false,false,false,false,0,0,0,0,false
82,INITIAL_POPULATION,NOT_APPLICABLE,false,6dd4feab56a035996dd6124c2296b664b65e3d2ee28103d91b4ab687f1956cfb,1001.48065926455,134019.3293025411,443756.28791096143,-1,-1,-1,NA,NA,NA,NA,UNASSIGNED,false,false,false,false,0,0,0,0,false
83,INITIAL_POPULATION,NOT_APPLICABLE,false,9d1999d8c00d64fd9ae0b3e191b40fbe39e008a25ada3620165f01f585c60223,1126.1593697135636,133059.97283207517,406260.64059600106,-1,-1,-1,NA,NA,NA,NA,UNASSIGNED,false,false,false,false,0,0,0,0,false
84,INITIAL_POPULATION,NOT_APPLICABLE,false,c15273ca169a434852135e3fa76bd6f088628eebcc346ba5004620905d884ee5,1375.3744622922486,132227.4339089893,466550.77277938655,-1,-1,-1,NA,NA,NA,NA,UNASSIGNED,false,false,false,false,0,0,0,0,false
85,INITIAL_POPULATION,NOT_APPLICABLE,false,313089cfbda79f9962e98649540dcab9e0fc6cbba38898d1239a6cd9aa197e0c,963.3562833083959,131406.40346206207,398940.25063579716,-1,-1,-1,NA,NA,NA,NA,UNASSIGNED,false,false,false,false,0,0,0,0,false
86,INITIAL_POPULATION,NOT_APPLICABLE,false,2211c69c44a351b441cfd2cc8344825654d26aeeda7f81d60d83dbb2e241bdcd,1077.4616070952861,133866.5453810993,452155.5143022297,-1,-1,-1,NA,NA,NA,NA,UNASSIGNED,false,false,false,false,0,0,0,0,false
87,INITIAL_POPULATION,NOT_APPLICABLE,false,f302f26b3a20c8342973dc0ff1da66015f2cd57fb8e698e1b4bc0695bc7a26d0,1037.498967556931,136665.80692439177,461666.97309216624,-1,-1,-1,NA,NA,NA,NA,UNASSIGNED,false,false,false,false,0,0,0,0,false
88,INITIAL_POPULATION,NOT_APPLICABLE,false,d7d1040a5eaa8b4d42eb025d43457c41afe20e042a79b666230e0519e2244af4,1151.1428245579857,135387.39151804693,471071.6375897146,-1,-1,-1,NA,NA,NA,NA,UNASSIGNED,false,false,false,false,0,0,0,0,false
89,INITIAL_POPULATION,NOT_APPLICABLE,false,f9c663ec901fd85f80970b6c33e95f019a3025a87a9a683feaf14fbb3e9baee9,967.2829651915133,131621.0841193446,400137.8481214754,-1,-1,-1,NA,NA,NA,NA,UNASSIGNED,false,false,false,false,0,0,0,0,false
90,INITIAL_POPULATION,NOT_APPLICABLE,false,de22bb4ad6069e549c5794a07b7445fe39f1f9f4f171fa53cfe4c3ee06e0d237,1073.5589824936349,137720.71384309066,453110.8495511277,-1,-1,-1,NA,NA,NA,NA,UNASSIGNED,false,false,false,false,0,0,0,0,false
91,INITIAL_POPULATION,NOT_APPLICABLE,false,915f92f9a3ade105291c732b80fce6b62ee7e14ef7c64897b462d9e4e858ae0d,1055.8423629000322,133136.31325707573,459979.99888714345,-1,-1,-1,NA,NA,NA,NA,UNASSIGNED,false,false,false,false,0,0,0,0,false
92,INITIAL_POPULATION,NOT_APPLICABLE,false,7a6b5076e6626063bb4c28c866c9da4369907817ac7d3360ab6b47b355314017,940.0374109433449,131989.78962848414,425444.5090152813,-1,-1,-1,NA,NA,NA,NA,UNASSIGNED,false,false,false,false,0,0,0,0,false
93,INITIAL_POPULATION,NOT_APPLICABLE,false,0d9c1dbdeb2d14c072474436e1e6d961e428c93f643eec7c72fcf846cd994047,1253.2922867284055,137883.4648304956,460175.5390620214,-1,-1,-1,NA,NA,NA,NA,UNASSIGNED,false,false,false,false,0,0,0,0,false
94,INITIAL_POPULATION,NOT_APPLICABLE,false,b627008bca1a70995274c154fe229aa91150fb1c76e6e48b48193db45ec8408c,1138.7538774529705,134930.96962987297,457684.13727108407,-1,-1,-1,NA,NA,NA,NA,UNASSIGNED,false,false,false,false,0,0,0,0,false
95,INITIAL_POPULATION,NOT_APPLICABLE,false,ebf9c4ff982344f3bc864c2c54bf831acb3ea00d68fc24408fad75f08f72dd3e,1109.827896087045,135696.84680398204,456197.12823216664,-1,-1,-1,NA,NA,NA,NA,UNASSIGNED,false,false,false,false,0,0,0,0,false
